i_gen,i_individual,accuracy,sparsity,random_value
0,0,0.375,50.0,0
0,1,0.39423078298568726,50.0,0
0,2,0.42307692766189575,50.0,0
0,3,0.4326923191547394,50.0,0
0,4,0.4423076808452606,50.0,0
0,5,0.45192307233810425,50.0,0
0,6,0.4615384638309479,100.0,0
0,7,0.4615384638309479,50.0,0
0,8,0.4615384638309479,50.0,0
0,9,0.4615384638309479,50.0,0
0,10,0.48076921701431274,50.0,0
0,11,0.48076921701431274,50.0,0
0,12,0.49038460850715637,50.0,0
0,13,0.5,50.0,0
0,14,0.5096153616905212,50.0,0
0,15,0.5096153616905212,50.0,0
0,16,0.5192307829856873,50.0,0
0,17,0.5192307829856873,50.0,0
0,18,0.5384615659713745,50.0,0
0,19,0.567307710647583,50.0,0
0,20,0.5769230723381042,50.0,0
0,21,0.6057692170143127,50.0,0
0,22,0.6153846383094788,50.0,0
1,0,0.36538460850715637,49.633699633699635,0
1,1,0.36538460850715637,47.61904761904761,0
1,2,0.42307692766189575,50.54945054945055,0
1,3,0.4326923191547394,52.01465201465202,0
1,4,0.45192307233810425,100.0,0
1,5,0.4615384638309479,52.38095238095239,0
1,6,0.4615384638309479,51.28205128205128,0
1,7,0.4615384638309479,52.38095238095239,0
1,8,0.4615384638309479,48.9010989010989,0
1,9,0.5,51.28205128205128,0
1,10,0.5,48.35164835164835,0
1,11,0.5096153616905212,50.0,0
1,12,0.5096153616905212,50.0,0
1,13,0.5192307829856873,50.0,0
1,14,0.5192307829856873,50.0,0
1,15,0.5288461446762085,50.0,0
1,16,0.5480769276618958,47.985347985347985,0
1,17,0.557692289352417,49.45054945054945,0
1,18,0.5769230723381042,50.0,0
1,19,0.5769230723381042,50.0,0
1,20,0.5865384340286255,50.0,0
1,21,0.5865384340286255,49.08424908424908,0
1,22,0.6153846383094788,50.0,0
1,23,0.6153846383094788,46.88644688644688,0
1,24,0.6346153616905212,48.717948717948715,0
2,0,0.35576921701431274,50.366300366300365,0
2,1,0.4326923191547394,49.81684981684982,0
2,2,0.4615384638309479,49.08424908424908,0
2,3,0.4615384638309479,48.53479853479853,0
2,4,0.4711538553237915,52.01465201465202,0
2,5,0.5,49.45054945054945,0
2,6,0.5096153616905212,44.13919413919414,0
2,7,0.5288461446762085,48.717948717948715,0
2,8,0.5288461446762085,48.53479853479853,0
2,9,0.5384615659713745,50.0,0
2,10,0.5384615659713745,48.53479853479853,0
2,11,0.5384615659713745,50.18315018315018,0
2,12,0.5384615659713745,100.0,0
2,13,0.5480769276618958,52.01465201465202,0
2,14,0.557692289352417,49.45054945054945,0
2,15,0.557692289352417,50.0,0
2,16,0.567307710647583,50.0,0
2,17,0.567307710647583,50.73260073260073,0
2,18,0.5769230723381042,50.0,0
2,19,0.5865384340286255,49.08424908424908,0
2,20,0.6153846383094788,50.0,0
2,21,0.6153846383094788,46.88644688644688,0
2,22,0.6153846383094788,50.54945054945055,0
2,23,0.6346153616905212,48.717948717948715,0
2,24,0.6538461446762085,50.0,0
3,0,0.36538460850715637,100.0,0
3,1,0.4134615361690521,46.336996336996336,0
3,2,0.42307692766189575,48.717948717948715,0
3,3,0.4326923191547394,50.54945054945055,0
3,4,0.4423076808452606,50.18315018315018,0
3,5,0.45192307233810425,48.717948717948715,0
3,6,0.45192307233810425,51.098901098901095,0
3,7,0.4615384638309479,54.02930402930403,0
3,8,0.4711538553237915,47.61904761904761,0
3,9,0.48076921701431274,50.54945054945055,0
3,10,0.48076921701431274,51.46520146520146,0
3,11,0.49038460850715637,47.61904761904761,0
3,12,0.5,49.08424908424908,0
3,13,0.5384615659713745,52.01465201465202,0
3,14,0.567307710647583,50.0,0
3,15,0.567307710647583,50.73260073260073,0
3,16,0.5769230723381042,50.0,0
3,17,0.5769230723381042,50.0,0
3,18,0.5865384340286255,49.08424908424908,0
3,19,0.5961538553237915,51.098901098901095,0
3,20,0.6153846383094788,50.0,0
3,21,0.6153846383094788,46.88644688644688,0
3,22,0.6153846383094788,50.54945054945055,0
3,23,0.625,51.83150183150184,0
3,24,0.6346153616905212,48.717948717948715,0
4,0,0.39423078298568726,48.717948717948715,0
4,1,0.4326923191547394,49.26739926739927,0
4,2,0.45192307233810425,51.46520146520146,0
4,3,0.4615384638309479,52.38095238095239,0
4,4,0.4615384638309479,53.47985347985348,0
4,5,0.4711538553237915,53.2967032967033,0
4,6,0.49038460850715637,50.54945054945055,0
4,7,0.49038460850715637,51.098901098901095,0
4,8,0.5,100.0,0
4,9,0.5,50.0,0
4,10,0.5096153616905212,53.11355311355312,0
4,11,0.5384615659713745,50.366300366300365,0
