i_gen,i_individual,accuracy,sparsity,random_value
0,0,0.07500000298023224,50.0,0
0,1,0.13750000298023224,50.0,0
0,2,0.17499999701976776,50.0,0
0,3,0.2874999940395355,50.0,0
0,4,0.2874999940395355,50.0,0
0,5,0.3375000059604645,50.0,0
0,6,0.3499999940395355,50.0,0
0,7,0.4749999940395355,50.0,0
0,8,0.5625,50.0,0
0,9,0.625,50.0,0
0,10,0.6499999761581421,50.0,0
0,11,0.699999988079071,100.0,0
0,12,0.7250000238418579,50.0,0
0,13,0.762499988079071,50.0,0
0,14,0.8500000238418579,50.0,0
0,15,0.875,50.0,0
0,16,0.887499988079071,50.0,0
0,17,0.887499988079071,50.0,0
0,18,0.9125000238418579,50.0,0
0,19,0.925000011920929,50.0,0
0,20,0.925000011920929,50.0,0
0,21,0.987500011920929,50.0,0
0,22,0.987500011920929,50.0,0
1,0,0.25,48.333333333333336,0
1,1,0.2750000059604645,48.333333333333336,0
1,2,0.375,100.0,0
1,3,0.38749998807907104,51.66666666666667,0
1,4,0.48750001192092896,52.5,0
1,5,0.48750001192092896,50.0,0
1,6,0.5,46.666666666666664,0
1,7,0.512499988079071,52.5,0
1,8,0.512499988079071,48.333333333333336,0
1,9,0.675000011920929,53.333333333333336,0
1,10,0.699999988079071,51.66666666666667,0
1,11,0.8125,56.666666666666664,0
1,12,0.875,50.0,0
1,13,0.875,50.83333333333333,0
1,14,0.887499988079071,50.0,0
1,15,0.887499988079071,50.0,0
1,16,0.9125000238418579,50.0,0
1,17,0.925000011920929,50.0,0
1,18,0.925000011920929,50.0,0
1,19,0.9375,46.666666666666664,0
1,20,0.9750000238418579,47.5,0
1,21,0.987500011920929,50.0,0
1,22,0.987500011920929,50.0,0
1,23,1.0,49.166666666666664,0
1,24,1.0,49.166666666666664,0
2,0,0.20000000298023224,50.83333333333333,0
2,1,0.3125,41.66666666666667,0
2,2,0.32499998807907104,45.0,0
2,3,0.3375000059604645,52.5,0
2,4,0.36250001192092896,46.666666666666664,0
2,5,0.5249999761581421,45.0,0
2,6,0.5874999761581421,46.666666666666664,0
2,7,0.6000000238418579,47.5,0
2,8,0.612500011920929,46.666666666666664,0
2,9,0.625,50.0,0
2,10,0.6625000238418579,49.166666666666664,0
2,11,0.699999988079071,49.166666666666664,0
2,12,0.8125,50.0,0
2,13,0.8125,100.0,0
2,14,0.824999988079071,50.0,0
2,15,0.887499988079071,50.0,0
2,16,0.925000011920929,50.0,0
2,17,0.925000011920929,50.0,0
2,18,0.9375,46.666666666666664,0
2,19,0.9624999761581421,50.0,0
2,20,0.9750000238418579,47.5,0
2,21,0.987500011920929,50.0,0
2,22,0.987500011920929,50.0,0
2,23,1.0,49.166666666666664,0
2,24,1.0,49.166666666666664,0
3,0,0.03750000149011612,49.166666666666664,0
3,1,0.08749999850988388,50.0,0
3,2,0.10000000149011612,50.83333333333333,0
3,3,0.125,43.333333333333336,0
3,4,0.17499999701976776,46.666666666666664,0
3,5,0.26249998807907104,51.66666666666667,0
3,6,0.36250001192092896,100.0,0
3,7,0.4000000059604645,50.0,0
3,8,0.42500001192092896,49.166666666666664,0
3,9,0.550000011920929,50.0,0
3,10,0.625,40.833333333333336,0
3,11,0.637499988079071,48.333333333333336,0
3,12,0.6625000238418579,50.0,0
3,13,0.699999988079071,50.0,0
3,14,0.75,50.83333333333333,0
3,15,0.8500000238418579,47.5,0
3,16,0.925000011920929,50.0,0
3,17,0.925000011920929,48.333333333333336,0
3,18,0.9375,46.666666666666664,0
3,19,0.9624999761581421,50.0,0
3,20,0.9750000238418579,47.5,0
3,21,0.987500011920929,50.0,0
3,22,0.987500011920929,50.0,0
3,23,1.0,49.166666666666664,0
3,24,1.0,49.166666666666664,0
4,0,0.0625,49.166666666666664,0
4,1,0.11249999701976776,53.333333333333336,0
4,2,0.17499999701976776,50.0,0
4,3,0.2874999940395355,49.166666666666664,0
4,4,0.3125,54.166666666666664,0
4,5,0.3125,55.00000000000001,0
4,6,0.375,46.666666666666664,0
4,7,0.375,51.66666666666667,0
4,8,0.4375,50.0,0
4,9,0.48750001192092896,51.66666666666667,0
4,10,0.48750001192092896,50.0,0
4,11,0.5,48.333333333333336,0
4,12,0.5,100.0,0
4,13,0.5249999761581421,49.166666666666664,0
4,14,0.5375000238418579,50.0,0
4,15,0.550000011920929,47.5,0
4,16,0.862500011920929,46.666666666666664,0
4,17,0.925000011920929,50.0,0
4,18,0.9375,46.666666666666664,0
4,19,0.9624999761581421,50.0,0
4,20,0.9750000238418579,47.5,0
4,21,0.987500011920929,50.0,0
4,22,0.987500011920929,50.0,0
4,23,1.0,49.166666666666664,0
4,24,1.0,49.166666666666664,0
5,0,0.012500000186264515,45.83333333333333,0
5,1,0.13750000298023224,44.166666666666664,0
5,2,0.25,50.0,0
5,3,0.26249998807907104,43.333333333333336,0
5,4,0.42500001192092896,48.333333333333336,0
5,5,0.4375,100.0,0
5,6,0.4749999940395355,48.333333333333336,0
5,7,0.4749999940395355,49.166666666666664,0
5,8,0.512499988079071,49.166666666666664,0
5,9,0.5249999761581421,46.666666666666664,0
5,10,0.5625,48.333333333333336,0
5,11,0.5625,50.0,0
5,12,0.6625000238418579,47.5,0
5,13,0.675000011920929,50.0,0
5,14,0.699999988079071,48.333333333333336,0
5,15,0.800000011920929,50.0,0
5,16,0.8125,49.166666666666664,0
5,17,0.925000011920929,50.0,0
5,18,0.9375,46.666666666666664,0
5,19,0.9624999761581421,50.0,0
5,20,0.9750000238418579,47.5,0
5,21,0.987500011920929,50.0,0
5,22,0.987500011920929,50.0,0
5,23,1.0,49.166666666666664,0
5,24,1.0,49.166666666666664,0
6,0,0.0625,50.0,0
6,1,0.125,49.166666666666664,0
6,2,0.13750000298023224,50.83333333333333,0
6,3,0.2750000059604645,50.83333333333333,0
6,4,0.32499998807907104,100.0,0
6,5,0.3375000059604645,48.333333333333336,0
6,6,0.3499999940395355,46.666666666666664,0
6,7,0.42500001192092896,50.83333333333333,0
6,8,0.4375,49.166666666666664,0
6,9,0.5249999761581421,50.83333333333333,0
6,10,0.550000011920929,47.5,0
6,11,0.612500011920929,48.333333333333336,0
6,12,0.612500011920929,55.00000000000001,0
6,13,0.612500011920929,50.0,0
6,14,0.625,47.5,0
6,15,0.7124999761581421,48.333333333333336,0
6,16,0.737500011920929,46.666666666666664,0
6,17,0.925000011920929,50.0,0
6,18,0.9375,46.666666666666664,0
6,19,0.9624999761581421,50.0,0
6,20,0.9750000238418579,47.5,0
6,21,0.987500011920929,50.0,0
6,22,0.987500011920929,50.0,0
6,23,1.0,49.166666666666664,0
6,24,1.0,49.166666666666664,0
7,0,0.1875,49.166666666666664,0
7,1,0.20000000298023224,48.333333333333336,0
7,2,0.25,40.0,0
7,3,0.32499998807907104,46.666666666666664,0
7,4,0.36250001192092896,54.166666666666664,0
7,5,0.38749998807907104,50.0,0
7,6,0.4124999940395355,50.0,0
7,7,0.44999998807907104,45.83333333333333,0
