i_gen,i_individual,accuracy,sparsity,random_value
0,0,0.21830986440181732,50.0,0
0,1,0.22535210847854614,50.0,0
0,2,0.23239436745643616,50.0,0
0,3,0.26056337356567383,50.0,0
0,4,0.27464789152145386,100.0,0
0,5,0.27464789152145386,50.0,0
0,6,0.2887323796749115,50.0,0
0,7,0.2887323796749115,50.0,0
0,8,0.2887323796749115,50.0,0
0,9,0.2887323796749115,50.0,0
0,10,0.2887323796749115,50.0,0
0,11,0.2887323796749115,50.0,0
0,12,0.30985915660858154,50.0,0
0,13,0.31690141558647156,50.0,0
0,14,0.31690141558647156,50.0,0
0,15,0.3661971688270569,50.0,0
0,16,0.3802816867828369,50.0,0
0,17,0.3802816867828369,50.0,0
0,18,0.40140846371650696,50.0,0
0,19,0.40140846371650696,50.0,0
0,20,0.40140846371650696,50.0,0
0,21,0.40140846371650696,50.0,0
0,22,0.4507042169570923,50.0,0
1,0,0.2535211145877838,49.08854166666667,0
1,1,0.2887323796749115,49.47916666666667,0
1,2,0.2887323796749115,50.520833333333336,0
1,3,0.2887323796749115,49.08854166666667,0
1,4,0.2887323796749115,49.73958333333333,0
1,5,0.30985915660858154,50.911458333333336,0
1,6,0.30985915660858154,48.17708333333333,0
1,7,0.30985915660858154,49.73958333333333,0
1,8,0.30985915660858154,50.0,0
1,9,0.3661971688270569,50.0,0
1,10,0.3802816867828369,50.0,0
1,11,0.3802816867828369,50.0,0
1,12,0.38732394576072693,50.0,0
1,13,0.40140846371650696,50.0,0
1,14,0.40140846371650696,50.0,0
1,15,0.40140846371650696,50.0,0
1,16,0.40140846371650696,50.0,0
1,17,0.40140846371650696,50.0,0
1,18,0.4084506928920746,50.846354166666664,0
1,19,0.4154929518699646,100.0,0
1,20,0.44366195797920227,50.065104166666664,0
1,21,0.4507042169570923,50.0,0
1,22,0.5211267471313477,49.93489583333333,0
1,23,0.5352112650871277,48.56770833333333,0
1,24,0.5422534942626953,50.0,0
2,0,0.23943662643432617,100.0,0
2,1,0.246478870511055,50.325520833333336,0
2,2,0.2887323796749115,49.47916666666667,0
2,3,0.2887323796749115,49.4140625,0
2,4,0.2887323796749115,50.455729166666664,0
2,5,0.30985915660858154,49.15364583333333,0
2,6,0.30985915660858154,74.54427083333334,0
2,7,0.30985915660858154,65.10416666666666,0
2,8,0.30985915660858154,50.0,0
2,9,0.31690141558647156,51.5625,0
2,10,0.3380281627178192,59.765625,0
2,11,0.39436620473861694,50.846354166666664,0
2,12,0.40140846371650696,50.0,0
2,13,0.40140846371650696,75.390625,0
2,14,0.40140846371650696,74.54427083333334,0
2,15,0.40140846371650696,50.0,0
2,16,0.40140846371650696,50.390625,0
2,17,0.4084506928920746,50.846354166666664,0
2,18,0.4154929518699646,100.0,0
2,19,0.43661972880363464,49.93489583333333,0
2,20,0.44366195797920227,50.065104166666664,0
2,21,0.4507042169570923,50.0,0
2,22,0.5211267471313477,49.93489583333333,0
2,23,0.5352112650871277,48.56770833333333,0
2,24,0.5422534942626953,50.0,0
3,0,0.1267605572938919,49.4140625,0
3,1,0.23943662643432617,65.10416666666666,0
3,2,0.246478870511055,48.37239583333333,0
3,3,0.26760563254356384,75.45572916666666,0
3,4,0.27464789152145386,50.520833333333336,0
3,5,0.2887323796749115,74.0234375,0
3,6,0.2887323796749115,49.47916666666667,0
3,7,0.2887323796749115,51.5625,0
3,8,0.2887323796749115,49.67447916666667,0
3,9,0.30281689763069153,49.4140625,0
3,10,0.30985915660858154,50.0,0
3,11,0.3380281627178192,50.325520833333336,0
3,12,0.4084506928920746,50.846354166666664,0
3,13,0.4084506928920746,100.0,0
3,14,0.4154929518699646,100.0,0
3,15,0.4154929518699646,50.716145833333336,0
3,16,0.43661972880363464,49.93489583333333,0
3,17,0.43661972880363464,51.041666666666664,0
3,18,0.44366195797920227,50.065104166666664,0
3,19,0.44366195797920227,50.5859375,0
3,20,0.4507042169570923,50.0,0
3,21,0.5211267471313477,49.93489583333333,0
3,22,0.5352112650871277,48.56770833333333,0
3,23,0.5422534942626953,50.0,0
3,24,0.5633803009986877,49.15364583333333,0
4,0,0.1690140813589096,50.1953125,0
4,1,0.22535210847854614,50.5859375,0
4,2,0.23943662643432617,50.5859375,0
4,3,0.2887323796749115,50.0,0
4,4,0.2887323796749115,50.9765625,0
4,5,0.2887323796749115,50.260416666666664,0
4,6,0.2957746386528015,50.0,0
4,7,0.30985915660858154,49.15364583333333,0
4,8,0.30985915660858154,50.0,0
4,9,0.30985915660858154,52.018229166666664,0
4,10,0.3380281627178192,50.5859375,0
4,11,0.35915493965148926,50.1953125,0
4,12,0.3732394278049469,50.846354166666664,0
4,13,0.39436620473861694,100.0,0
4,14,0.4154929518699646,50.5859375,0
4,15,0.43661972880363464,49.93489583333333,0
4,16,0.44366195797920227,50.065104166666664,0
4,17,0.44366195797920227,50.5859375,0
4,18,0.4507042169570923,50.0,0
4,19,0.4647887349128723,50.520833333333336,0
4,20,0.5211267471313477,49.93489583333333,0
4,21,0.5352112650871277,48.56770833333333,0
4,22,0.5422534942626953,50.0,0
4,23,0.5563380122184753,50.846354166666664,0
4,24,0.5633803009986877,49.15364583333333,0
5,0,0.09154929220676422,49.47916666666667,0
5,1,0.246478870511055,53.125,0
5,2,0.2887323796749115,50.911458333333336,0
5,3,0.2887323796749115,49.47916666666667,0
5,4,0.2887323796749115,50.0,0
5,5,0.2887323796749115,51.692708333333336,0
5,6,0.2887323796749115,49.47916666666667,0
