i_gen,i_individual,accuracy,sparsity,random_value
0,0,0.0,50.0,0
0,1,0.17499999701976776,50.0,0
0,2,0.4749999940395355,50.0,0
0,3,0.48750001192092896,100.0,0
0,4,0.48750001192092896,50.0,0
0,5,0.48750001192092896,50.0,0
0,6,0.48750001192092896,50.0,0
0,7,0.48750001192092896,50.0,0
0,8,0.48750001192092896,50.0,0
0,9,0.48750001192092896,50.0,0
0,10,0.48750001192092896,50.0,0
0,11,0.48750001192092896,50.0,0
0,12,0.512499988079071,50.0,0
0,13,0.512499988079071,50.0,0
0,14,0.512499988079071,50.0,0
0,15,0.512499988079071,50.0,0
0,16,0.512499988079071,50.0,0
0,17,0.512499988079071,50.0,0
0,18,0.512499988079071,50.0,0
0,19,0.512499988079071,50.0,0
0,20,0.5874999761581421,50.0,0
0,21,0.625,50.0,0
0,22,0.8374999761581421,50.0,0
1,0,0.125,52.05592105263158,0
1,1,0.4000000059604645,50.164473684210535,0
1,2,0.48750001192092896,49.42434210526316,0
1,3,0.48750001192092896,49.83552631578947,0
1,4,0.48750001192092896,51.89144736842105,0
1,5,0.48750001192092896,49.83552631578947,0
1,6,0.48750001192092896,50.6578947368421,0
1,7,0.48750001192092896,50.49342105263158,0
1,8,0.48750001192092896,51.973684210526315,0
1,9,0.512499988079071,50.0,0
1,10,0.512499988079071,50.0,0
1,11,0.512499988079071,50.0,0
1,12,0.512499988079071,50.0,0
1,13,0.512499988079071,50.0,0
1,14,0.512499988079071,50.24671052631579,0
1,15,0.512499988079071,50.57565789473685,0
1,16,0.512499988079071,47.53289473684211,0
1,17,0.512499988079071,50.0,0
1,18,0.5874999761581421,50.0,0
1,19,0.625,50.0,0
1,20,0.75,47.20394736842105,0
1,21,0.7749999761581421,100.0,0
1,22,0.8125,51.48026315789473,0
1,23,0.8374999761581421,50.0,0
1,24,0.8500000238418579,50.164473684210535,0
2,0,0.3499999940395355,49.506578947368425,0
2,1,0.4749999940395355,53.61842105263158,0
2,2,0.48750001192092896,47.69736842105263,0
2,3,0.48750001192092896,49.506578947368425,0
2,4,0.48750001192092896,49.01315789473684,0
2,5,0.48750001192092896,47.368421052631575,0
2,6,0.48750001192092896,48.026315789473685,0
2,7,0.48750001192092896,52.4671052631579,0
2,8,0.48750001192092896,100.0,0
2,9,0.512499988079071,50.0,0
2,10,0.512499988079071,49.67105263157895,0
2,11,0.512499988079071,74.25986842105263,0
2,12,0.512499988079071,51.48026315789473,0
2,13,0.512499988079071,74.25986842105263,0
2,14,0.512499988079071,50.98684210526315,0
2,15,0.512499988079071,50.0,0
2,16,0.5874999761581421,50.0,0
2,17,0.625,50.0,0
2,18,0.7124999761581421,51.31578947368421,0
2,19,0.75,47.20394736842105,0
2,20,0.7749999761581421,100.0,0
2,21,0.8125,51.48026315789473,0
2,22,0.8374999761581421,50.0,0
2,23,0.8500000238418579,50.164473684210535,0
2,24,1.0,49.75328947368421,0
3,0,0.48750001192092896,75.74013157894737,0
3,1,0.48750001192092896,47.45065789473684,0
3,2,0.48750001192092896,57.401315789473685,0
3,3,0.48750001192092896,47.286184210526315,0
3,4,0.48750001192092896,50.49342105263158,0
3,5,0.48750001192092896,49.34210526315789,0
3,6,0.48750001192092896,100.0,0
3,7,0.48750001192092896,50.0,0
3,8,0.5,49.506578947368425,0
3,9,0.512499988079071,51.23355263157895,0
3,10,0.512499988079071,50.32894736842105,0
3,11,0.512499988079071,54.60526315789473,0
3,12,0.512499988079071,50.32894736842105,0
3,13,0.512499988079071,47.77960526315789,0
3,14,0.5625,50.24671052631579,0
3,15,0.625,50.0,0
3,16,0.675000011920929,75.16447368421053,0
3,17,0.7124999761581421,51.31578947368421,0
3,18,0.75,47.20394736842105,0
3,19,0.7749999761581421,100.0,0
3,20,0.8125,51.48026315789473,0
3,21,0.8374999761581421,50.0,0
3,22,0.8500000238418579,50.164473684210535,0
3,23,0.9750000238418579,47.12171052631579,0
3,24,1.0,49.75328947368421,0
4,0,0.16249999403953552,50.24671052631579,0
4,1,0.1875,47.03947368421053,0
4,2,0.36250001192092896,50.08223684210527,0
4,3,0.4000000059604645,59.45723684210527,0
4,4,0.44999998807907104,50.49342105263158,0
4,5,0.48750001192092896,49.75328947368421,0
4,6,0.48750001192092896,49.83552631578947,0
4,7,0.48750001192092896,49.67105263157895,0
4,8,0.48750001192092896,49.42434210526316,0
4,9,0.48750001192092896,47.12171052631579,0
4,10,0.48750001192092896,74.25986842105263,0
4,11,0.48750001192092896,50.08223684210527,0
4,12,0.48750001192092896,50.0,0
4,13,0.5,65.13157894736842,0
4,14,0.5,100.0,0
4,15,0.574999988079071,49.506578947368425,0
4,16,0.7124999761581421,51.31578947368421,0
4,17,0.75,47.20394736842105,0
4,18,0.7749999761581421,100.0,0
4,19,0.8125,51.48026315789473,0
4,20,0.824999988079071,74.58881578947368,0
4,21,0.8374999761581421,50.0,0
4,22,0.8500000238418579,50.164473684210535,0
4,23,0.9750000238418579,47.12171052631579,0
4,24,1.0,49.75328947368421,0
5,0,0.125,49.42434210526316,0
5,1,0.4749999940395355,47.45065789473684,0
5,2,0.48750001192092896,47.20394736842105,0
5,3,0.48750001192092896,47.69736842105263,0
5,4,0.48750001192092896,75.57565789473685,0
5,5,0.48750001192092896,48.35526315789473,0
5,6,0.48750001192092896,51.48026315789473,0
5,7,0.48750001192092896,50.0,0
5,8,0.512499988079071,72.86184210526315,0
5,9,0.512499988079071,49.75328947368421,0
5,10,0.512499988079071,47.20394736842105,0
5,11,0.512499988079071,47.20394736842105,0
5,12,0.512499988079071,65.13157894736842,0
5,13,0.512499988079071,49.17763157894737,0
5,14,0.512499988079071,49.17763157894737,0
5,15,0.512499988079071,65.13157894736842,0
5,16,0.512499988079071,100.0,0
5,17,0.75,47.20394736842105,0
5,18,0.7749999761581421,100.0,0
5,19,0.8125,51.48026315789473,0
5,20,0.824999988079071,74.58881578947368,0
5,21,0.8374999761581421,50.0,0
5,22,0.8500000238418579,50.164473684210535,0
5,23,0.9750000238418579,47.12171052631579,0
5,24,1.0,49.75328947368421,0
6,0,0.13750000298023224,76.31578947368422,0
6,1,0.4625000059604645,49.75328947368421,0
6,2,0.48750001192092896,50.0,0
6,3,0.48750001192092896,51.151315789473685,0
6,4,0.48750001192092896,57.48355263157895,0
6,5,0.5,50.164473684210535,0
6,6,0.512499988079071,47.12171052631579,0
6,7,0.512499988079071,50.0,0
6,8,0.512499988079071,65.13157894736842,0
6,9,0.512499988079071,51.398026315789465,0
6,10,0.512499988079071,51.5625,0
6,11,0.512499988079071,100.0,0
6,12,0.512499988079071,50.0,0
6,13,0.5375000238418579,74.3421052631579,0
6,14,0.6875,49.75328947368421,0
6,15,0.75,47.20394736842105,0
6,16,0.7749999761581421,100.0,0
6,17,0.7875000238418579,100.0,0
6,18,0.8125,51.48026315789473,0
6,19,0.824999988079071,74.58881578947368,0
6,20,0.8374999761581421,50.0,0
6,21,0.8500000238418579,50.164473684210535,0
6,22,0.8999999761581421,52.05592105263158,0
6,23,0.9750000238418579,47.12171052631579,0
6,24,1.0,49.75328947368421,0
7,0,0.0,50.0,0
7,1,0.32499998807907104,51.23355263157895,0
7,2,0.48750001192092896,49.75328947368421,0
7,3,0.48750001192092896,49.91776315789473,0
7,4,0.48750001192092896,51.398026315789465,0
7,5,0.48750001192092896,47.61513157894737,0
7,6,0.48750001192092896,49.09539473684211,0
7,7,0.48750001192092896,46.95723684210527,0
7,8,0.48750001192092896,57.48355263157895,0
7,9,0.48750001192092896,49.09539473684211,0
7,10,0.48750001192092896,100.0,0
7,11,0.48750001192092896,50.0,0
7,12,0.512499988079071,51.398026315789465,0
7,13,0.512499988079071,49.75328947368421,0
7,14,0.512499988079071,75.16447368421053,0
7,15,0.512499988079071,51.726973684210535,0
7,16,0.612500011920929,49.17763157894737,0
7,17,0.7875000238418579,100.0,0
7,18,0.8125,51.48026315789473,0
7,19,0.824999988079071,74.58881578947368,0
7,20,0.8374999761581421,50.0,0
7,21,0.8500000238418579,50.164473684210535,0
7,22,0.8999999761581421,52.05592105263158,0
7,23,0.9750000238418579,47.12171052631579,0
7,24,1.0,49.75328947368421,0
8,0,0.05000000074505806,47.45065789473684,0
8,1,0.05000000074505806,50.6578947368421,0
8,2,0.375,50.411184210526315,0
8,3,0.375,50.57565789473685,0
8,4,0.4000000059604645,57.56578947368421,0
8,5,0.4124999940395355,100.0,0
8,6,0.4749999940395355,50.0,0
8,7,0.48750001192092896,75.41118421052632,0
8,8,0.48750001192092896,74.83552631578947,0
8,9,0.48750001192092896,49.506578947368425,0
8,10,0.48750001192092896,48.19078947368421,0
8,11,0.48750001192092896,100.0,0
8,12,0.512499988079071,51.64473684210527,0
8,13,0.512499988079071,47.20394736842105,0
8,14,0.512499988079071,49.83552631578947,0
8,15,0.512499988079071,46.463815789473685,0
8,16,0.7875000238418579,100.0,0
8,17,0.8125,51.48026315789473,0
8,18,0.824999988079071,74.58881578947368,0
8,19,0.8374999761581421,50.0,0
8,20,0.8500000238418579,50.164473684210535,0
8,21,0.8999999761581421,52.05592105263158,0
8,22,0.9624999761581421,50.6578947368421,0
8,23,0.9750000238418579,47.12171052631579,0
8,24,1.0,49.75328947368421,0
9,0,0.20000000298023224,100.0,0
9,1,0.4000000059604645,48.27302631578947,0
9,2,0.48750001192092896,47.45065789473684,0
9,3,0.48750001192092896,49.17763157894737,0
9,4,0.48750001192092896,50.0,0
9,5,0.48750001192092896,48.27302631578947,0
9,6,0.48750001192092896,49.25986842105263,0
9,7,0.48750001192092896,50.0,0
9,8,0.512499988079071,50.82236842105263,0
9,9,0.512499988079071,50.0,0
9,10,0.512499988079071,49.42434210526316,0
9,11,0.512499988079071,50.08223684210527,0
9,12,0.512499988079071,49.17763157894737,0
9,13,0.512499988079071,50.24671052631579,0
9,14,0.5249999761581421,49.91776315789473,0
9,15,0.6625000238418579,48.4375,0
9,16,0.8125,51.48026315789473,0
9,17,0.824999988079071,74.58881578947368,0
9,18,0.8374999761581421,50.0,0
9,19,0.8500000238418579,50.164473684210535,0
9,20,0.8500000238418579,48.10855263157895,0
9,21,0.8999999761581421,52.05592105263158,0
9,22,0.9624999761581421,50.6578947368421,0
9,23,0.9750000238418579,47.12171052631579,0
9,24,1.0,49.75328947368421,0
10,0,0.10000000149011612,49.75328947368421,0
10,1,0.125,48.10855263157895,0
10,2,0.13750000298023224,47.45065789473684,0
10,3,0.2750000059604645,48.27302631578947,0
10,4,0.48750001192092896,50.6578947368421,0
10,5,0.48750001192092896,50.0,0
10,6,0.48750001192092896,52.05592105263158,0
10,7,0.48750001192092896,50.411184210526315,0
10,8,0.48750001192092896,50.82236842105263,0
10,9,0.48750001192092896,48.848684210526315,0
10,10,0.48750001192092896,50.164473684210535,0
10,11,0.48750001192092896,100.0,0
10,12,0.48750001192092896,50.0,0
10,13,0.512499988079071,47.69736842105263,0
10,14,0.512499988079071,48.68421052631579,0
10,15,0.512499988079071,52.960526315789465,0
10,16,0.574999988079071,47.53289473684211,0
10,17,0.824999988079071,74.58881578947368,0
10,18,0.8374999761581421,50.0,0
10,19,0.8500000238418579,50.164473684210535,0
10,20,0.8500000238418579,48.10855263157895,0
10,21,0.8999999761581421,52.05592105263158,0
10,22,0.9624999761581421,50.6578947368421,0
10,23,0.9750000238418579,47.12171052631579,0
10,24,1.0,49.75328947368421,0
11,0,0.30000001192092896,52.54934210526315,0
11,1,0.48750001192092896,52.05592105263158,0
11,2,0.48750001192092896,47.45065789473684,0
11,3,0.48750001192092896,50.24671052631579,0
11,4,0.48750001192092896,48.10855263157895,0
11,5,0.48750001192092896,49.75328947368421,0
11,6,0.48750001192092896,49.25986842105263,0
11,7,0.48750001192092896,51.398026315789465,0
11,8,0.48750001192092896,48.76644736842105,0
11,9,0.48750001192092896,100.0,0
11,10,0.512499988079071,47.45065789473684,0
11,11,0.512499988079071,51.398026315789465,0
11,12,0.512499988079071,49.91776315789473,0
11,13,0.512499988079071,49.91776315789473,0
11,14,0.512499988079071,52.38486842105263,0
11,15,0.6000000238418579,50.0,0
11,16,0.824999988079071,74.58881578947368,0
11,17,0.8374999761581421,50.0,0
11,18,0.8500000238418579,50.164473684210535,0
11,19,0.8500000238418579,48.10855263157895,0
11,20,0.8999999761581421,52.05592105263158,0
11,21,0.9375,50.57565789473685,0
11,22,0.9624999761581421,50.6578947368421,0
11,23,0.9750000238418579,47.12171052631579,0
11,24,1.0,49.75328947368421,0
12,0,0.012500000186264515,47.45065789473684,0
12,1,0.42500001192092896,50.0,0
12,2,0.4625000059604645,47.69736842105263,0
12,3,0.4625000059604645,48.10855263157895,0
12,4,0.48750001192092896,51.151315789473685,0
12,5,0.48750001192092896,50.0,0
12,6,0.48750001192092896,50.49342105263158,0
12,7,0.48750001192092896,50.411184210526315,0
12,8,0.512499988079071,47.69736842105263,0
12,9,0.512499988079071,49.67105263157895,0
12,10,0.512499988079071,46.95723684210527,0
12,11,0.512499988079071,49.25986842105263,0
12,12,0.512499988079071,46.71052631578947,0
12,13,0.5249999761581421,50.08223684210527,0
12,14,0.7250000238418579,49.01315789473684,0
12,15,0.824999988079071,100.0,0
12,16,0.8374999761581421,50.0,0
12,17,0.8500000238418579,50.164473684210535,0
12,18,0.8500000238418579,48.10855263157895,0
12,19,0.8999999761581421,52.05592105263158,0
12,20,0.9375,50.57565789473685,0
12,21,0.9624999761581421,50.6578947368421,0
12,22,0.9750000238418579,47.12171052631579,0
12,23,1.0,49.75328947368421,0
12,24,1.0,50.49342105263158,0
13,0,0.0625,50.411184210526315,0
13,1,0.48750001192092896,50.6578947368421,0
13,2,0.48750001192092896,48.68421052631579,0
13,3,0.48750001192092896,50.82236842105263,0
13,4,0.48750001192092896,100.0,0
13,5,0.512499988079071,50.6578947368421,0
13,6,0.512499988079071,49.75328947368421,0
13,7,0.512499988079071,47.61513157894737,0
13,8,0.512499988079071,50.74013157894737,0
13,9,0.512499988079071,50.6578947368421,0
13,10,0.512499988079071,50.164473684210535,0
13,11,0.512499988079071,49.34210526315789,0
13,12,0.512499988079071,49.506578947368425,0
13,13,0.5625,51.80921052631579,0
13,14,0.5625,50.0,0
13,15,0.637499988079071,50.0,0
13,16,0.675000011920929,49.34210526315789,0
13,17,0.8500000238418579,50.164473684210535,0
13,18,0.8500000238418579,48.10855263157895,0
13,19,0.8999999761581421,52.05592105263158,0
13,20,0.9375,50.57565789473685,0
13,21,0.9624999761581421,50.6578947368421,0
13,22,0.9750000238418579,47.12171052631579,0
13,23,1.0,49.75328947368421,0
13,24,1.0,50.49342105263158,0
14,0,0.32499998807907104,48.19078947368421,0
14,1,0.4000000059604645,48.10855263157895,0
14,2,0.4124999940395355,100.0,0
14,3,0.44999998807907104,50.74013157894737,0
14,4,0.48750001192092896,50.82236842105263,0
14,5,0.48750001192092896,48.10855263157895,0
14,6,0.48750001192092896,47.45065789473684,0
14,7,0.48750001192092896,50.6578947368421,0
14,8,0.48750001192092896,50.9046052631579,0
14,9,0.48750001192092896,48.76644736842105,0
14,10,0.48750001192092896,48.4375,0
14,11,0.512499988079071,49.83552631578947,0
14,12,0.512499988079071,50.57565789473685,0
14,13,0.512499988079071,48.60197368421053,0
14,14,0.512499988079071,47.61513157894737,0
14,15,0.512499988079071,50.0,0
14,16,0.5249999761581421,50.0,0
14,17,0.8500000238418579,50.164473684210535,0
14,18,0.8500000238418579,48.10855263157895,0
14,19,0.8999999761581421,52.05592105263158,0
14,20,0.9375,50.57565789473685,0
14,21,0.9624999761581421,50.6578947368421,0
14,22,0.9750000238418579,47.12171052631579,0
14,23,1.0,49.75328947368421,0
14,24,1.0,50.49342105263158,0
15,0,0.375,48.19078947368421,0
15,1,0.4625000059604645,49.83552631578947,0
15,2,0.4749999940395355,49.506578947368425,0
15,3,0.4749999940395355,49.588815789473685,0
15,4,0.48750001192092896,47.61513157894737,0
15,5,0.48750001192092896,48.10855263157895,0
15,6,0.48750001192092896,50.164473684210535,0
15,7,0.48750001192092896,47.20394736842105,0
15,8,0.48750001192092896,48.930921052631575,0
15,9,0.48750001192092896,49.588815789473685,0
15,10,0.48750001192092896,50.0,0
15,11,0.512499988079071,48.848684210526315,0
15,12,0.512499988079071,50.74013157894737,0
15,13,0.5625,50.98684210526315,0
15,14,0.612500011920929,100.0,0
15,15,0.8500000238418579,50.164473684210535,0
15,16,0.8500000238418579,48.10855263157895,0
15,17,0.8999999761581421,52.05592105263158,0
15,18,0.8999999761581421,47.86184210526316,0
15,19,0.9125000238418579,48.10855263157895,0
15,20,0.9375,50.57565789473685,0
15,21,0.9624999761581421,50.6578947368421,0
15,22,0.9750000238418579,47.12171052631579,0
15,23,1.0,49.75328947368421,0
15,24,1.0,50.49342105263158,0
