model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,15,0.31363192200660706,1.0,1.0,0.31362631916999817,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,16,0.3136455714702606,1.0,1.0,0.3136487603187561,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,17,0.31366315484046936,1.0,1.0,0.3136691451072693,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,18,0.3137701451778412,1.0,1.0,0.3136889338493347,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,19,0.31370916962623596,1.0,1.0,0.31370434165000916,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,20,0.3136935532093048,1.0,1.0,0.31372374296188354,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,21,0.31372323632240295,1.0,1.0,0.31374144554138184,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,22,0.3137178421020508,1.0,1.0,0.3137524127960205,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,23,0.31371763348579407,1.0,1.0,0.3137604296207428,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,24,0.3137369751930237,1.0,1.0,0.3137722611427307,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,25,0.3137393295764923,1.0,1.0,0.313777893781662,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,26,0.3137359321117401,1.0,1.0,0.31378117203712463,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,27,0.31382855772972107,1.0,1.0,0.3137778639793396,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,28,0.3137429654598236,1.0,1.0,0.3137683570384979,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,29,0.3137613534927368,1.0,1.0,0.31376057863235474,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,30,0.3137342035770416,1.0,1.0,0.31375181674957275,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,31,0.3136810064315796,1.0,1.0,0.313757985830307,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,32,0.3137199282646179,1.0,1.0,0.3137865960597992,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,33,0.31371715664863586,1.0,1.0,0.3137757182121277,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,34,0.3137390911579132,1.0,1.0,0.31377506256103516,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,35,0.3136822283267975,1.0,1.0,0.31377968192100525,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,36,0.31369587779045105,1.0,1.0,0.31380245089530945,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,37,0.3137141764163971,1.0,1.0,0.31382638216018677,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,38,0.3137226402759552,1.0,1.0,0.31383615732192993,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,39,0.31377819180488586,1.0,1.0,0.3138291835784912,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,40,0.3137192130088806,1.0,1.0,0.3138195872306824,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,41,0.31376397609710693,1.0,1.0,0.3138218820095062,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,42,0.3137533366680145,1.0,1.0,0.3137753903865814,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,43,0.31367257237434387,1.0,1.0,0.31375616788864136,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,44,0.31368014216423035,1.0,1.0,0.31376132369041443,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,45,0.31366145610809326,1.0,1.0,0.3137684464454651,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,46,0.31368449330329895,1.0,1.0,0.3137792646884918,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,47,0.31368881464004517,1.0,1.0,0.3137974143028259,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,48,0.3136814534664154,1.0,1.0,0.3137890696525574,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,49,0.3136884868144989,1.0,1.0,0.31379592418670654,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,0,0.6474233269691467,0.824999988079071,1.0,0.6188698410987854,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,1,0.5767585635185242,1.0,1.0,0.5508697032928467,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,2,0.5021232962608337,1.0,1.0,0.476318359375,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,3,0.43130895495414734,1.0,1.0,0.4094886779785156,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,4,0.3781832158565521,1.0,1.0,0.36321431398391724,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,5,0.3448125422000885,1.0,1.0,0.33692553639411926,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,6,0.3288189470767975,1.0,1.0,0.324910432100296,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,7,0.3212754428386688,1.0,1.0,0.319559246301651,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,8,0.3180786669254303,1.0,1.0,0.3171754479408264,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,9,0.3163183629512787,1.0,1.0,0.31602320075035095,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,10,0.3154304325580597,1.0,1.0,0.31541645526885986,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,11,0.31513547897338867,1.0,1.0,0.3150780200958252,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,12,0.31505319476127625,1.0,1.0,0.3148523271083832,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,13,0.31471407413482666,1.0,1.0,0.3146992325782776,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,14,0.31459203362464905,1.0,1.0,0.3145783841609955,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,15,0.31445828080177307,1.0,1.0,0.31446966528892517,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,16,0.31435152888298035,1.0,1.0,0.3143916428089142,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,17,0.3142875134944916,1.0,1.0,0.31433090567588806,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,18,0.31441646814346313,1.0,1.0,0.3142901659011841,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,19,0.3142775893211365,1.0,1.0,0.31426429748535156,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,20,0.31417950987815857,1.0,1.0,0.3142600655555725,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,21,0.3141966760158539,1.0,1.0,0.3142554461956024,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,22,0.31415677070617676,1.0,1.0,0.3142392635345459,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,23,0.3141287863254547,1.0,1.0,0.3142177164554596,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,24,0.31414636969566345,1.0,1.0,0.31420689821243286,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,25,0.31416410207748413,1.0,1.0,0.3141971230506897,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,26,0.31412506103515625,1.0,1.0,0.3141999840736389,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,27,0.314253568649292,1.0,1.0,0.3141903281211853,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,28,0.31414806842803955,1.0,1.0,0.3141760230064392,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,29,0.3141743242740631,1.0,1.0,0.3141607642173767,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,30,0.3141672909259796,1.0,1.0,0.314138263463974,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,31,0.31402671337127686,1.0,1.0,0.31413280963897705,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,32,0.3140700161457062,1.0,1.0,0.31414395570755005,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,33,0.31406891345977783,1.0,1.0,0.31412971019744873,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,34,0.3140246868133545,1.0,1.0,0.31411659717559814,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,35,0.31399789452552795,1.0,1.0,0.3141191303730011,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,36,0.3140248954296112,1.0,1.0,0.3141380548477173,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,37,0.314026415348053,1.0,1.0,0.31415629386901855,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,38,0.3140334188938141,1.0,1.0,0.31416529417037964,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,39,0.3141230046749115,1.0,1.0,0.3141665458679199,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,40,0.3140205442905426,1.0,1.0,0.3141714930534363,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,41,0.3140987455844879,1.0,1.0,0.31418126821517944,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,42,0.3141174614429474,1.0,1.0,0.31416085362434387,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,43,0.3140307664871216,1.0,1.0,0.31415802240371704,51.3,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,1,44,0.3140556514263153,1.0,1.0,0.3141584098339081,51.3,0.6000000238418579,0.6929256319999695,42,1282
