model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,0,1.0396051406860352,0.5249999761581421,0.6000000238418579,0.9696966409683228,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,1,0.8946487307548523,0.8583333492279053,0.800000011920929,0.8433300256729126,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,2,0.8178725242614746,0.9083333611488342,0.8666666746139526,0.8099963068962097,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,3,0.7630124688148499,0.949999988079071,0.8666666746139526,0.7379351258277893,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,4,0.7257627248764038,0.925000011920929,0.8666666746139526,0.722420334815979,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,5,0.7093738317489624,0.9166666865348816,0.8666666746139526,0.6766186952590942,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,6,0.6852213740348816,0.9416666626930237,0.9333333373069763,0.677463948726654,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,7,0.6763898730278015,0.949999988079071,0.8666666746139526,0.745025634765625,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,8,0.6661269664764404,0.9416666626930237,0.9333333373069763,0.6870409846305847,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,9,0.6538203954696655,0.9583333134651184,0.8666666746139526,0.741756796836853,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,10,0.6596612930297852,0.925000011920929,0.9333333373069763,0.6336977481842041,100.0,0.2666666805744171,1.32411527633667,31,114
VQC,3iris,12,0.027667465613327877,0.00014188599748059832,9,False,0.997,50,0,0,11,0.6658523082733154,0.925000011920929,0.9333333373069763,0.6626185774803162,100.0,0.2666666805744171,1.32411527633667,31,114
