model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,0,0.6938220858573914,0.48076921701431274,0.6153846383094788,0.7022652626037598,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,1,0.6795013546943665,0.6730769276618958,0.5384615659713745,0.6834671497344971,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,2,0.6693360209465027,0.6730769276618958,0.692307710647583,0.6638790965080261,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,3,0.6580957174301147,0.6730769276618958,0.7692307829856873,0.6436439156532288,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,4,0.6362161040306091,0.75,0.8461538553237915,0.6041565537452698,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,5,0.5921558737754822,0.8461538553237915,0.8461538553237915,0.5874956250190735,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,6,0.5270390510559082,0.9038461446762085,0.7692307829856873,0.5633559823036194,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,7,0.4910467863082886,0.9230769276618958,0.692307710647583,0.5511580109596252,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,8,0.4566240906715393,0.942307710647583,0.8461538553237915,0.5249760746955872,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,9,0.4314371645450592,0.9038461446762085,0.9230769276618958,0.4723656475543976,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,10,0.41543370485305786,0.942307710647583,0.8461538553237915,0.4759044051170349,100.0,0.6153846383094788,0.6810097098350525,4,355
VQC,2wine,13,0.04693603770646666,0.00017400041959447874,9,False,0.13840734641020713,50,0,0,11,0.4073610305786133,0.9615384340286255,0.9230769276618958,0.461848646402359,100.0,0.6153846383094788,0.6810097098350525,4,355
