model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,0,0.9755738973617554,0.625,0.6000000238418579,0.8598008155822754,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,1,0.7740518450737,0.7749999761581421,0.800000011920929,0.7313907146453857,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,2,0.693605363368988,0.8666666746139526,0.8666666746139526,0.7092387676239014,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,3,0.6506681442260742,0.925000011920929,0.8666666746139526,0.6498063802719116,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,4,0.6186956167221069,0.9416666626930237,0.9333333373069763,0.6319597363471985,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,5,0.6054552793502808,0.9583333134651184,0.9333333373069763,0.6173484921455383,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,6,0.5996288657188416,0.949999988079071,0.9333333373069763,0.6042161583900452,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,7,0.5968667268753052,0.949999988079071,0.9333333373069763,0.6491382122039795,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,8,0.5930162668228149,0.9583333134651184,0.9333333373069763,0.6065437197685242,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,9,0.5979547500610352,0.949999988079071,0.9333333373069763,0.6303389668464661,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,10,0.5936871767044067,0.9583333134651184,0.9333333373069763,0.6008732914924622,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,11,0.5868674516677856,0.9666666388511658,0.9333333373069763,0.6056342124938965,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,12,0.5888780355453491,0.9666666388511658,0.9333333373069763,0.5975544452667236,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,13,0.5955837965011597,0.949999988079071,0.9333333373069763,0.6595533490180969,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,14,0.5864378809928894,0.9583333134651184,0.9333333373069763,0.6549475789070129,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,15,0.5869216322898865,0.9583333134651184,0.9333333373069763,0.6033734083175659,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,16,0.5841654539108276,0.9750000238418579,0.9333333373069763,0.5993168354034424,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,17,0.5965666770935059,0.9416666626930237,0.9333333373069763,0.6252989768981934,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,18,0.5809148550033569,0.9666666388511658,0.9333333373069763,0.6052411198616028,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,19,0.5806639790534973,0.9666666388511658,0.9333333373069763,0.5883479118347168,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,20,0.5828424692153931,0.9750000238418579,0.9333333373069763,0.5948095917701721,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,21,0.5820326805114746,0.9750000238418579,0.9333333373069763,0.589701235294342,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,22,0.5852359533309937,0.9750000238418579,0.9333333373069763,0.658430278301239,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,23,0.5813788175582886,0.9666666388511658,0.9333333373069763,0.5863962769508362,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,24,0.5796855688095093,0.9750000238418579,0.9333333373069763,0.5911872386932373,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,25,0.581592857837677,0.9666666388511658,0.9333333373069763,0.626997709274292,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,26,0.583085834980011,0.9750000238418579,0.9333333373069763,0.5963141322135925,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,27,0.5799829363822937,0.9750000238418579,0.9333333373069763,0.5810444951057434,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,28,0.5754210948944092,0.9750000238418579,0.9333333373069763,0.5926002264022827,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,29,0.5798439383506775,0.9750000238418579,0.9333333373069763,0.5759077072143555,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,30,0.5842196345329285,0.9750000238418579,1.0,0.5740528106689453,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,31,0.5822144150733948,0.9666666388511658,0.9333333373069763,0.5929757952690125,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,32,0.5776221752166748,0.9666666388511658,0.9333333373069763,0.647677481174469,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,33,0.5825755000114441,0.9583333134651184,0.9333333373069763,0.5870676040649414,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,34,0.5774625539779663,0.9833333492279053,1.0,0.5707964301109314,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,35,0.5827580690383911,0.9583333134651184,0.9333333373069763,0.5854830145835876,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,36,0.581664502620697,0.9750000238418579,0.9333333373069763,0.5989363789558411,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,37,0.5900672674179077,0.9666666388511658,1.0,0.5566973686218262,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,38,0.5817998647689819,0.9583333134651184,1.0,0.5737704634666443,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,39,0.5780120491981506,0.9666666388511658,0.9333333373069763,0.6002936959266663,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,40,0.5792601704597473,0.9750000238418579,0.9333333373069763,0.5877962112426758,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,41,0.5736085176467896,0.9750000238418579,0.9333333373069763,0.5954441428184509,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,42,0.5777605175971985,0.9750000238418579,0.9333333373069763,0.6062368750572205,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,43,0.5900440812110901,0.949999988079071,1.0,0.5619608759880066,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,44,0.5801876187324524,0.9666666388511658,1.0,0.5866650938987732,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,45,0.5761157274246216,0.9750000238418579,1.0,0.592049241065979,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,46,0.5725512504577637,0.9916666746139526,1.0,0.5749533772468567,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,47,0.5828747153282166,0.9583333134651184,1.0,0.5701903700828552,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,48,0.5752748250961304,0.9750000238418579,0.9333333373069763,0.5783879160881042,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,0,49,0.5740422010421753,0.9833333492279053,0.9333333373069763,0.5763621926307678,100.0,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,0,1.0560572147369385,0.5916666388511658,0.6000000238418579,1.0010091066360474,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,1,0.9274532198905945,0.675000011920929,0.6000000238418579,0.8651325702667236,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,2,0.8081146478652954,0.6833333373069763,0.800000011920929,0.8095590472221375,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,3,0.7288563847541809,0.8833333253860474,0.8666666746139526,0.7153498530387878,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,4,0.6748682260513306,0.925000011920929,0.8666666746139526,0.7082791328430176,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,5,0.640646755695343,0.949999988079071,0.8666666746139526,0.6552121043205261,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,6,0.6205650568008423,0.949999988079071,0.9333333373069763,0.6383762359619141,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,7,0.6086102724075317,0.9666666388511658,0.9333333373069763,0.6765978932380676,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,8,0.6028684973716736,0.9583333134651184,0.9333333373069763,0.6212931275367737,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,9,0.6019835472106934,0.9583333134651184,0.9333333373069763,0.6622841954231262,51.3,0.20000000298023224,1.1563774347305298,2,1315
NN,3iris,6,0.004769194015507301,0.00022149501355195838,,,,50,0,1,10,0.5994483232498169,0.9583333134651184,0.9333333373069763,0.6154420971870422,51.3,0.20000000298023224,1.1563774347305298,2,1315
